t,U,I,throttle0,throttle1,throttle2,throttle3
1774273224.335,18.00,0.285,105,0,0,0
1774273224.416,18.00,1.073,117,0,0,0
1774273224.517,18.00,1.073,133,0,0,0
1774273224.598,18.00,1.073,145,0,0,0
1774273224.679,18.00,1.073,148,0,0,0
1774273224.760,18.00,0.887,148,0,0,0
1774273224.842,18.00,0.887,154,0,0,0
1774273224.923,18.00,0.887,159,0,0,0
1774273225.004,18.00,0.887,159,0,0,0
1774273225.085,18.00,1.764,159,0,0,0
1774273225.166,18.00,1.764,159,0,0,0
1774273225.247,18.00,1.764,159,0,0,0
1774273225.328,18.00,1.764,152,0,0,0
1774273225.409,18.00,1.645,0,0,0,0
1774273225.490,18.00,1.645,0,0,0,0
1774273225.571,18.00,1.645,0,0,0,0
1774273225.653,18.00,1.645,0,0,0,0
1774273225.734,18.00,0.480,0,0,0,0
1774273225.815,18.00,0.480,0,0,0,0
1774273225.896,18.00,0.480,0,0,0,0
1774273225.977,18.00,0.480,0,0,0,0
1774273226.058,18.00,0.537,0,0,0,0
1774273226.139,18.00,0.537,0,0,0,0
1774273226.220,18.00,0.537,0,0,0,0
1774273226.301,18.00,0.537,0,0,0,0
1774273226.382,18.00,0.219,0,0,0,0
1774273226.504,18.00,0.219,0,0,0,0
1774273226.605,18.00,0.219,25,0,0,0
1774273226.686,18.00,0.163,140,0,0,0
1774273226.768,18.00,0.163,145,0,0,0
1774273226.849,18.00,0.163,0,0,0,0
1774273226.930,18.00,0.163,0,0,0,0
1774273227.011,18.00,0.453,49,0,0,0
1774273227.112,18.00,0.453,49,0,0,0
1774273227.193,18.00,0.453,91,0,0,0
1774273227.275,18.00,0.453,112,0,0,0
1774273227.356,18.00,0.931,129,0,0,0
1774273227.457,18.00,0.931,143,0,0,0
1774273227.558,18.00,0.931,166,0,0,0
1774273227.639,18.00,0.931,174,0,0,0
1774273227.720,18.00,1.178,164,0,0,0
1774273227.802,18.00,1.178,159,0,0,0
1774273227.903,18.00,1.178,154,0,0,0
1774273228.004,18.00,1.178,148,0,0,0
1774273228.085,18.00,1.586,148,0,0,0
1774273228.207,18.00,1.586,147,0,0,0
1774273228.288,18.00,1.586,147,0,0,0
1774273228.389,18.00,1.263,147,0,0,0
1774273228.490,18.00,1.263,131,0,0,0
1774273228.571,18.00,1.263,128,0,0,0
1774273228.673,18.00,1.263,128,0,0,0
1774273228.774,18.00,0.946,122,0,0,0
1774273228.876,18.00,0.946,119,0,0,0
1774273228.977,18.00,0.946,115,0,0,0
1774273229.058,18.00,0.946,115,0,0,0
1774273229.139,18.00,0.808,115,0,0,0
1774273229.241,18.00,0.808,114,0,0,0
1774273229.322,18.00,0.808,114,0,0,0
1774273229.403,18.00,0.808,119,0,0,0
1774273229.484,18.00,1.052,126,0,0,0
1774273229.565,18.00,1.052,129,0,0,0
1774273229.666,18.00,1.052,131,0,0,0
1774273229.747,18.00,1.052,131,0,0,0
1774273229.849,18.00,1.230,117,0,0,0
1774273229.930,18.00,1.230,96,0,0,0
1774273230.032,18.00,1.230,81,0,0,0
1774273230.133,18.00,1.230,77,0,0,0
1774273230.214,18.00,0.397,75,0,0,0
1774273230.315,18.00,0.397,74,0,0,0
1774273230.396,18.00,0.397,0,0,0,0
1774273230.498,18.00,0.397,0,0,0,0
1774273230.579,18.00,0.102,0,0,0,0
1774273230.680,18.00,0.102,0,0,0,0
1774273230.781,18.00,0.102,0,0,0,0
1774273230.863,18.00,0.102,0,0,0,0
1774273230.964,18.00,0.213,0,0,0,0
1774273231.065,18.00,0.213,0,0,0,0
1774273231.146,18.00,0.213,0,0,0,0
1774273231.228,18.00,0.213,0,0,0,0
1774273231.329,18.00,0.152,0,0,0,0
1774273231.431,18.00,0.152,0,0,0,0
1774273231.512,18.00,0.152,0,0,0,0
1774273231.613,18.00,0.058,0,0,0,0
1774273231.715,18.00,0.058,0,0,0,0
1774273231.796,18.00,0.058,0,0,0,0
1774273231.897,18.00,0.058,0,0,0,0
1774273231.978,18.00,0.055,0,0,0,0
1774273232.080,18.00,0.055,0,0,0,0
1774273232.161,18.00,0.055,0,0,0,0
1774273232.262,18.00,0.055,0,0,0,0
1774273232.345,18.00,0.055,0,0,0,0
1774273232.432,18.00,0.055,0,0,0,0
1774273232.515,18.00,0.055,0,0,0,0
1774273232.597,18.00,0.055,0,0,0,0
1774273232.699,18.00,0.055,0,0,0,0
1774273232.800,18.00,0.055,0,0,0,0
1774273232.882,18.00,0.055,0,0,0,0
1774273232.983,18.00,0.055,0,0,0,0
1774273233.085,18.00,0.055,0,0,0,0
