# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774272859.780 18.00 0.055
1774272859.879 18.00 0.055
1774272859.965 18.00 0.055
1774272860.046 18.00 0.055
1774272860.127 18.00 0.056
1774272860.209 18.00 0.056
1774272860.289 18.00 0.053
1774272860.371 18.00 0.053
1774272860.452 18.00 0.053
1774272860.533 18.00 0.055
1774272860.614 18.00 0.055
1774272860.695 18.00 0.055
1774272860.776 18.00 0.055
1774272860.858 18.00 0.055
1774272860.939 18.00 0.055
1774272861.020 18.00 0.055
1774272861.102 18.00 0.055
1774272861.183 18.00 0.053
1774272861.270 18.00 0.053
1774272861.353 18.00 0.053
1774272861.439 18.00 0.055
1774272861.520 18.00 0.055
1774272861.602 18.00 0.055
1774272861.683 18.00 0.053
1774272861.764 18.00 0.053
1774272861.845 18.00 0.053
1774272861.926 18.00 0.055
1774272862.007 18.00 0.055
1774272862.088 18.00 0.055
1774272862.169 18.00 0.053
1774272862.251 18.00 0.053
1774272862.332 18.00 0.053
1774272862.413 18.00 0.055
1774272862.494 18.00 0.055
1774272862.575 18.00 0.055
1774272862.656 18.00 0.055
1774272862.737 18.00 0.055
1774272862.818 18.00 0.055
1774272862.900 18.00 0.055
1774272862.981 18.00 0.055
1774272863.062 18.00 0.055
1774272863.143 18.00 0.056
1774272863.224 18.00 0.056
1774272863.305 18.00 0.056
1774272863.386 18.00 0.056
1774272863.467 18.00 0.056
1774272863.548 18.00 0.056
1774272863.629 18.00 0.055
1774272863.710 18.00 0.055
1774272863.791 18.00 0.055
1774272863.873 18.00 0.055
1774272863.954 18.00 0.056
1774272864.035 18.00 0.056
1774272864.116 18.00 0.056
1774272864.197 18.00 0.079
1774272864.278 18.00 0.079
1774272864.359 18.00 0.079
1774272864.440 18.00 0.124
1774272864.521 18.00 0.124
1774272864.602 18.00 0.124
1774272864.683 18.00 0.069
1774272864.764 18.00 0.069
1774272864.845 18.00 0.069
1774272864.927 18.00 0.069
1774272865.008 18.00 0.087
1774272865.089 18.00 0.087
1774272865.170 18.00 0.087
1774272865.251 18.00 0.155
1774272865.332 18.00 0.155
1774272865.413 18.00 0.155
1774272865.495 18.00 0.155
1774272865.576 18.00 0.097
1774272865.657 18.00 0.097
1774272865.738 18.00 0.097
1774272865.819 18.00 0.055
1774272865.900 18.00 0.055
1774272865.981 18.00 0.055
1774272866.063 18.00 0.055
1774272866.144 18.00 0.055
1774272866.225 18.00 0.055
1774272866.306 18.00 0.055
1774272866.387 18.00 0.480
1774272866.468 18.00 0.480
1774272866.550 18.00 0.480
1774272866.631 18.00 0.480
1774272866.712 18.00 0.333
1774272866.793 18.00 0.333
1774272866.874 18.00 0.333
1774272866.955 18.00 0.371
1774272867.036 18.00 0.371
1774272867.118 18.00 0.371
1774272867.199 18.00 0.371
1774272867.280 18.00 0.623
1774272867.361 18.00 0.623
1774272867.443 18.00 0.623
1774272867.524 18.00 0.798
1774272867.605 18.00 0.798
1774272867.686 18.00 0.798
1774272867.767 18.00 0.798
1774272867.848 18.00 0.734
1774272867.929 18.00 0.734
1774272868.010 18.00 0.734
1774272868.092 18.00 0.734
1774272868.173 18.00 0.661
1774272868.274 18.00 0.661
1774272868.355 18.00 0.661
1774272868.436 18.00 0.771
1774272868.538 18.00 0.771
1774272868.619 18.00 0.771
1774272868.700 18.00 0.771
1774272868.781 18.00 0.753
1774272868.862 18.00 0.753
1774272868.943 18.00 0.753
1774272869.027 18.00 0.753
1774272869.108 18.00 0.890
1774272869.190 18.00 0.890
1774272869.271 18.00 0.890
1774272869.352 18.00 0.890
1774272869.433 18.00 0.968
1774272869.515 18.00 0.968
1774272869.596 18.00 0.968
1774272869.677 18.00 0.968
1774272869.758 18.00 1.027
1774272869.839 18.00 1.027
1774272869.920 18.00 1.027
1774272870.001 18.00 1.027
1774272870.082 18.00 0.900
1774272870.183 18.00 0.900
1774272870.269 18.00 0.900
1774272870.350 18.00 0.880
1774272870.432 18.00 0.880
1774272870.513 18.00 0.880
1774272870.614 18.00 0.880
1774272870.695 18.00 0.880
1774272870.777 18.00 0.880
1774272870.858 18.00 0.880
1774272870.939 18.00 0.880
1774272871.020 18.00 0.880
1774272871.101 18.00 0.880
1774272871.182 18.00 0.880
1774272871.263 18.00 0.880
1774272871.344 18.00 0.862
1774272871.425 18.00 0.862
1774272871.507 18.00 0.862
1774272871.588 18.00 0.862
1774272871.669 18.00 0.862
1774272871.770 18.00 0.724
1774272871.851 18.00 0.724
1774272871.932 18.00 0.724
1774272872.013 18.00 0.839
1774272872.115 18.00 0.839
1774272872.216 18.00 0.839
1774272872.297 18.00 0.839
1774272872.378 18.00 0.837
1774272872.460 18.00 0.837
1774272872.561 18.00 0.837
1774272872.642 18.00 0.837
1774272872.723 18.00 0.832
1774272872.804 18.00 0.832
1774272872.905 18.00 0.832
1774272873.007 18.00 0.832
1774272873.088 18.00 0.752
1774272873.189 18.00 0.752
1774272873.270 18.00 0.752
1774272873.351 18.00 0.752
1774272873.433 18.00 0.823
1774272873.535 18.00 0.823
1774272873.636 18.00 0.823
1774272873.717 18.00 0.823
1774272873.839 18.00 0.827
1774272873.920 18.00 0.827
1774272874.021 18.00 0.827
1774272874.102 18.00 0.610
1774272874.203 18.00 0.610
1774272874.304 18.00 0.610
1774272874.385 18.00 0.610
1774272874.487 18.00 0.684
1774272874.572 18.00 0.684
1774272874.653 18.00 0.684
1774272874.735 18.00 0.684
1774272874.816 18.00 0.663
1774272874.917 18.00 0.663
1774272874.998 18.00 0.663
1774272875.099 18.00 0.663
1774272875.181 18.00 0.546
1774272875.282 18.00 0.546
1774272875.363 18.00 0.546
