t,U,I,throttle0,throttle1,throttle2,throttle3
1774272859.780,18.00,0.055,3,0,0,0
1774272859.879,18.00,0.055,3,0,0,0
1774272859.965,18.00,0.055,3,0,0,0
1774272860.046,18.00,0.055,3,0,0,0
1774272860.127,18.00,0.056,3,0,0,0
1774272860.209,18.00,0.056,3,0,0,0
1774272860.289,18.00,0.053,3,0,0,0
1774272860.371,18.00,0.053,3,0,0,0
1774272860.452,18.00,0.053,3,0,0,0
1774272860.533,18.00,0.055,3,0,0,0
1774272860.614,18.00,0.055,3,0,0,0
1774272860.695,18.00,0.055,3,0,0,0
1774272860.776,18.00,0.055,3,0,0,0
1774272860.858,18.00,0.055,3,0,0,0
1774272860.939,18.00,0.055,3,0,0,0
1774272861.020,18.00,0.055,3,0,0,0
1774272861.102,18.00,0.055,3,0,0,0
1774272861.183,18.00,0.053,3,0,0,0
1774272861.270,18.00,0.053,3,0,0,0
1774272861.353,18.00,0.053,3,0,0,0
1774272861.439,18.00,0.055,3,0,0,0
1774272861.520,18.00,0.055,3,0,0,0
1774272861.602,18.00,0.055,3,0,0,0
1774272861.683,18.00,0.053,3,0,0,0
1774272861.764,18.00,0.053,3,0,0,0
1774272861.845,18.00,0.053,3,0,0,0
1774272861.926,18.00,0.055,3,0,0,0
1774272862.007,18.00,0.055,3,0,0,0
1774272862.088,18.00,0.055,3,0,0,0
1774272862.169,18.00,0.053,3,0,0,0
1774272862.251,18.00,0.053,3,0,0,0
1774272862.332,18.00,0.053,3,0,0,0
1774272862.413,18.00,0.055,3,0,0,0
1774272862.494,18.00,0.055,3,0,0,0
1774272862.575,18.00,0.055,3,0,0,0
1774272862.656,18.00,0.055,3,0,0,0
1774272862.737,18.00,0.055,3,0,0,0
1774272862.818,18.00,0.055,3,0,0,0
1774272862.900,18.00,0.055,3,0,0,0
1774272862.981,18.00,0.055,3,0,0,0
1774272863.062,18.00,0.055,3,0,0,0
1774272863.143,18.00,0.056,3,0,0,0
1774272863.224,18.00,0.056,3,0,0,0
1774272863.305,18.00,0.056,3,0,0,0
1774272863.386,18.00,0.056,3,0,0,0
1774272863.467,18.00,0.056,3,0,0,0
1774272863.548,18.00,0.056,3,0,0,0
1774272863.629,18.00,0.055,3,0,0,0
1774272863.710,18.00,0.055,3,0,0,0
1774272863.791,18.00,0.055,3,0,0,0
1774272863.873,18.00,0.055,3,0,0,0
1774272863.954,18.00,0.056,3,0,0,0
1774272864.035,18.00,0.056,3,0,0,0
1774272864.116,18.00,0.056,3,0,0,0
1774272864.197,18.00,0.079,3,0,0,0
1774272864.278,18.00,0.079,3,0,0,0
1774272864.359,18.00,0.079,8,0,0,0
1774272864.440,18.00,0.124,11,0,0,0
1774272864.521,18.00,0.124,11,0,0,0
1774272864.602,18.00,0.124,11,0,0,0
1774272864.683,18.00,0.069,11,0,0,0
1774272864.764,18.00,0.069,0,0,0,0
1774272864.845,18.00,0.069,0,0,0,0
1774272864.927,18.00,0.069,0,0,0,0
1774272865.008,18.00,0.087,0,0,0,0
1774272865.089,18.00,0.087,0,0,0,0
1774272865.170,18.00,0.087,0,0,0,0
1774272865.251,18.00,0.155,0,0,0,0
1774272865.332,18.00,0.155,0,0,0,0
1774272865.413,18.00,0.155,0,0,0,0
1774272865.495,18.00,0.155,0,0,0,0
1774272865.576,18.00,0.097,0,0,0,0
