t,U,I,throttle0,throttle1,throttle2,throttle3
1774247805.630,18.00,0.055,1,0,0,0
1774247805.737,18.00,0.055,1,0,0,0
1774247805.846,18.00,0.056,1,0,0,0
1774247805.927,18.00,0.056,1,0,0,0
1774247806.029,18.00,0.056,1,0,0,0
1774247806.133,18.00,0.055,1,0,0,0
1774247806.215,18.00,0.055,1,0,0,0
1774247806.316,18.00,0.055,1,0,0,0
1774247806.402,18.00,0.055,1,0,0,0
1774247806.487,18.00,0.053,1,0,0,0
1774247806.568,18.00,0.053,1,0,0,0
1774247806.669,18.00,0.053,1,0,0,0
1774247806.771,18.00,0.053,1,0,0,0
1774247806.852,18.00,0.055,1,0,0,0
1774247806.934,18.00,0.055,1,0,0,0
1774247807.036,18.00,0.055,1,0,0,0
1774247807.123,18.00,0.055,1,0,0,0
1774247807.205,18.00,0.055,1,0,0,0
1774247807.289,18.00,0.055,1,0,0,0
1774247807.384,18.00,0.055,1,0,0,0
1774247807.479,18.00,0.055,1,0,0,0
1774247807.579,18.00,0.053,1,0,0,0
1774247807.702,18.00,0.053,1,0,0,0
1774247807.791,18.00,0.053,1,0,0,0
1774247807.890,18.00,0.053,1,0,0,0
1774247807.989,18.00,0.055,1,0,0,0
1774247808.074,18.00,0.055,1,0,0,0
1774247808.155,18.00,0.055,1,0,0,0
1774247808.257,18.00,0.055,1,0,0,0
1774247808.358,18.00,0.055,1,0,0,0
1774247808.439,18.00,0.055,1,0,0,0
1774247808.540,18.00,0.055,1,0,0,0
1774247808.621,18.00,0.055,1,0,0,0
1774247808.723,18.00,0.055,1,0,0,0
1774247808.804,18.00,0.055,1,0,0,0
1774247808.906,18.00,0.055,1,0,0,0
1774247809.009,18.00,0.053,1,0,0,0
1774247809.090,18.00,0.053,1,0,0,0
1774247809.192,18.00,0.053,1,0,0,0
1774247809.293,18.00,0.053,1,0,0,0
1774247809.375,18.00,0.055,1,0,0,0
1774247809.477,18.00,0.055,1,0,0,0
1774247809.558,18.00,0.055,1,0,0,0
1774247809.660,18.00,0.055,1,0,0,0
1774247809.741,18.00,0.053,1,0,0,0
1774247809.844,18.00,0.053,1,0,0,0
1774247809.946,18.00,0.053,1,0,0,0
1774247810.028,18.00,0.053,1,0,0,0
1774247810.131,18.00,0.055,1,0,0,0
1774247810.216,18.00,0.055,1,0,0,0
1774247810.297,18.00,0.055,1,0,0,0
1774247810.378,18.00,0.055,1,0,0,0
1774247810.460,18.00,0.055,1,0,0,0
1774247810.562,18.00,0.055,1,0,0,0
1774247810.664,18.00,0.055,1,0,0,0
1774247810.745,18.00,0.055,1,0,0,0
1774247810.828,18.00,0.055,1,0,0,0
1774247810.951,18.00,0.055,1,0,0,0
1774247811.034,18.00,0.055,1,0,0,0
1774247811.135,18.00,0.055,1,0,0,0
1774247811.239,18.00,0.055,1,0,0,0
