# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774272996.965 18.00 0.053
1774272997.050 18.00 0.056
1774272997.132 18.00 0.056
1774272997.213 18.00 0.055
1774272997.294 18.00 0.055
1774272997.375 18.00 0.055
1774272997.456 18.00 0.055
1774272997.538 18.00 0.055
1774272997.619 18.00 0.055
1774272997.700 18.00 0.055
1774272997.782 18.00 0.055
1774272997.863 18.00 0.053
1774272997.944 18.00 0.053
1774272998.025 18.00 0.053
1774272998.106 18.00 0.053
1774272998.188 18.00 0.053
1774272998.270 18.00 0.055
1774272998.351 18.00 0.055
1774272998.436 18.00 0.055
1774272998.521 18.00 0.055
1774272998.603 18.00 0.055
1774272998.684 18.00 0.055
1774272998.765 18.00 0.055
1774272998.846 18.00 0.055
1774272998.927 18.00 0.055
1774272999.009 18.00 0.055
1774272999.090 18.00 0.055
1774272999.171 18.00 0.055
1774272999.252 18.00 0.055
1774272999.333 18.00 0.055
1774272999.415 18.00 0.053
1774272999.496 18.00 0.053
1774272999.577 18.00 0.053
1774272999.658 18.00 0.055
1774272999.739 18.00 0.055
1774272999.820 18.00 0.055
1774272999.901 18.00 0.053
1774272999.982 18.00 0.053
1774273000.064 18.00 0.053
1774273000.145 18.00 0.056
1774273000.226 18.00 0.056
1774273000.307 18.00 0.056
1774273000.388 18.00 0.053
1774273000.469 18.00 0.053
1774273000.551 18.00 0.053
1774273000.632 18.00 0.053
1774273000.713 18.00 0.053
1774273000.794 18.00 0.053
1774273000.875 18.00 0.053
1774273000.956 18.00 0.053
1774273001.037 18.00 0.053
1774273001.118 18.00 0.111
1774273001.199 18.00 0.111
1774273001.280 18.00 0.111
1774273001.362 18.00 0.117
1774273001.443 18.00 0.117
1774273001.524 18.00 0.117
1774273001.605 18.00 0.053
1774273001.686 18.00 0.053
1774273001.768 18.00 0.053
1774273001.849 18.00 0.111
1774273001.930 18.00 0.111
1774273002.011 18.00 0.111
1774273002.093 18.00 0.111
1774273002.174 18.00 0.155
1774273002.255 18.00 0.155
1774273002.336 18.00 0.155
1774273002.417 18.00 0.076
1774273002.498 18.00 0.076
1774273002.579 18.00 0.076
1774273002.660 18.00 0.053
1774273002.741 18.00 0.053
1774273002.822 18.00 0.053
1774273002.904 18.00 0.053
1774273002.985 18.00 0.201
1774273003.066 18.00 0.201
1774273003.147 18.00 0.201
1774273003.228 18.00 0.262
1774273003.309 18.00 0.262
1774273003.390 18.00 0.262
1774273003.471 18.00 0.513
1774273003.553 18.00 0.513
1774273003.634 18.00 0.513
1774273003.715 18.00 0.513
1774273003.796 18.00 0.562
1774273003.877 18.00 0.562
1774273003.958 18.00 0.562
1774273004.039 18.00 0.885
1774273004.120 18.00 0.885
1774273004.202 18.00 0.885
1774273004.283 18.00 0.885
1774273004.364 18.00 1.022
1774273004.445 18.00 1.022
1774273004.526 18.00 1.022
1774273004.607 18.00 1.022
1774273004.688 18.00 1.230
1774273004.769 18.00 1.230
1774273004.850 18.00 1.230
1774273004.931 18.00 1.299
1774273005.012 18.00 1.299
1774273005.093 18.00 1.299
1774273005.174 18.00 1.299
1774273005.255 18.00 1.520
1774273005.336 18.00 1.520
1774273005.418 18.00 1.520
1774273005.499 18.00 1.389
1774273005.600 18.00 1.389
1774273005.681 18.00 1.389
1774273005.763 18.00 1.389
1774273005.844 18.00 0.697
1774273005.925 18.00 0.697
1774273006.006 18.00 0.697
1774273006.088 18.00 0.697
1774273006.169 18.00 0.699
1774273006.250 18.00 0.699
1774273006.331 18.00 0.699
1774273006.412 18.00 0.483
1774273006.494 18.00 0.483
1774273006.575 18.00 0.483
1774273006.656 18.00 0.483
1774273006.737 18.00 0.490
1774273006.818 18.00 0.490
1774273006.900 18.00 0.490
1774273006.981 18.00 0.490
1774273007.062 18.00 0.523
1774273007.143 18.00 0.523
1774273007.225 18.00 0.523
1774273007.306 18.00 0.523
1774273007.387 18.00 0.407
1774273007.468 18.00 0.407
1774273007.550 18.00 0.407
1774273007.631 18.00 0.407
1774273007.712 18.00 0.211
1774273007.813 18.00 0.211
1774273007.894 18.00 0.211
1774273007.976 18.00 0.211
1774273008.057 18.00 0.193
1774273008.138 18.00 0.193
1774273008.219 18.00 0.193
1774273008.300 18.00 0.193
1774273008.382 18.00 0.083
1774273008.484 18.00 0.083
1774273008.565 18.00 0.083
1774273008.646 18.00 0.102
1774273008.747 18.00 0.102
1774273008.829 18.00 0.102
1774273008.910 18.00 0.102
1774273008.991 18.00 0.261
1774273009.072 18.00 0.261
1774273009.153 18.00 0.261
1774273009.234 18.00 0.261
1774273009.315 18.00 0.443
1774273009.417 18.00 0.443
1774273009.498 18.00 0.443
1774273009.579 18.00 0.443
1774273009.680 18.00 0.659
1774273009.761 18.00 0.659
1774273009.842 18.00 0.659
1774273009.923 18.00 0.659
1774273010.004 18.00 0.780
1774273010.085 18.00 0.780
1774273010.166 18.00 0.780
1774273010.248 18.00 0.780
1774273010.329 18.00 1.091
1774273010.430 18.00 1.091
1774273010.512 18.00 1.091
1774273010.593 18.00 1.091
1774273010.674 18.00 1.197
1774273010.775 18.00 1.197
1774273010.857 18.00 1.197
1774273010.938 18.00 1.197
1774273011.019 18.00 1.170
1774273011.100 18.00 1.170
1774273011.181 18.00 1.170
1774273011.262 18.00 1.170
1774273011.343 18.00 1.170
1774273011.424 18.00 0.832
1774273011.546 18.00 0.832
1774273011.627 18.00 0.832
1774273011.728 18.00 0.570
1774273011.829 18.00 0.570
1774273011.910 18.00 0.570
1774273011.991 18.00 0.570
1774273012.072 18.00 0.570
1774273012.154 18.00 0.491
1774273012.255 18.00 0.491
1774273012.336 18.00 0.491
1774273012.437 18.00 0.439
1774273012.539 18.00 0.439
1774273012.620 18.00 0.439
1774273012.701 18.00 0.439
1774273012.802 18.00 0.364
1774273012.903 18.00 0.364
1774273012.985 18.00 0.364
1774273013.086 18.00 0.364
1774273013.167 18.00 0.183
1774273013.268 18.00 0.183
1774273013.370 18.00 0.183
1774273013.451 18.00 0.183
1774273013.552 18.00 0.147
1774273013.633 18.00 0.147
1774273013.735 18.00 0.147
1774273013.838 18.00 0.147
1774273013.919 18.00 0.261
1774273014.020 18.00 0.261
1774273014.122 18.00 0.261
1774273014.203 18.00 0.261
1774273014.284 18.00 0.503
1774273014.386 18.00 0.503
1774273014.487 18.00 0.503
1774273014.568 18.00 0.503
1774273014.669 18.00 0.208
1774273014.771 18.00 0.208
1774273014.852 18.00 0.208
1774273014.953 18.00 0.208
1774273015.035 18.00 0.429
1774273015.136 18.00 0.429
1774273015.217 18.00 0.429
1774273015.318 18.00 0.175
1774273015.420 18.00 0.175
1774273015.501 18.00 0.175
1774273015.602 18.00 0.175
1774273015.683 18.00 0.354
1774273015.785 18.00 0.354
1774273015.866 18.00 0.354
1774273015.968 18.00 0.354
1774273016.069 18.00 0.140
1774273016.150 18.00 0.140
1774273016.252 18.00 0.140
1774273016.333 18.00 0.140
1774273016.434 18.00 0.261
1774273016.515 18.00 0.261
1774273016.617 18.00 0.261
1774273016.718 18.00 0.261
1774273016.799 18.00 0.074
1774273016.900 18.00 0.074
1774273017.002 18.00 0.074
1774273017.083 18.00 0.074
1774273017.164 18.00 0.165
1774273017.265 18.00 0.165
1774273017.367 18.00 0.165
1774273017.448 18.00 0.165
1774273017.549 18.00 0.074
1774273017.651 18.00 0.074
1774273017.732 18.00 0.074
1774273017.813 18.00 0.074
1774273017.915 18.00 0.134
1774273018.016 18.00 0.134
1774273018.097 18.00 0.134
1774273018.198 18.00 0.214
1774273018.300 18.00 0.214
1774273018.381 18.00 0.214
1774273018.462 18.00 0.214
1774273018.563 18.00 0.092
1774273018.665 18.00 0.092
1774273018.746 18.00 0.092
1774273018.847 18.00 0.092
1774273018.928 18.00 0.117
1774273019.030 18.00 0.117
1774273019.131 18.00 0.117
