t,U,I,throttle0,throttle1,throttle2,throttle3
1774272996.965,18.00,0.053,15,0,0,0
1774272997.050,18.00,0.056,15,0,0,0
1774272997.132,18.00,0.056,15,0,0,0
1774272997.213,18.00,0.055,15,0,0,0
1774272997.294,18.00,0.055,15,0,0,0
1774272997.375,18.00,0.055,15,0,0,0
1774272997.456,18.00,0.055,15,0,0,0
1774272997.538,18.00,0.055,15,0,0,0
1774272997.619,18.00,0.055,15,0,0,0
1774272997.700,18.00,0.055,15,0,0,0
1774272997.782,18.00,0.055,15,0,0,0
1774272997.863,18.00,0.053,15,0,0,0
1774272997.944,18.00,0.053,15,0,0,0
1774272998.025,18.00,0.053,15,0,0,0
1774272998.106,18.00,0.053,15,0,0,0
1774272998.188,18.00,0.053,15,0,0,0
1774272998.270,18.00,0.055,15,0,0,0
1774272998.351,18.00,0.055,15,0,0,0
1774272998.436,18.00,0.055,15,0,0,0
1774272998.521,18.00,0.055,15,0,0,0
1774272998.603,18.00,0.055,15,0,0,0
1774272998.684,18.00,0.055,15,0,0,0
1774272998.765,18.00,0.055,15,0,0,0
1774272998.846,18.00,0.055,15,0,0,0
1774272998.927,18.00,0.055,15,0,0,0
1774272999.009,18.00,0.055,15,0,0,0
1774272999.090,18.00,0.055,15,0,0,0
1774272999.171,18.00,0.055,15,0,0,0
1774272999.252,18.00,0.055,15,0,0,0
1774272999.333,18.00,0.055,15,0,0,0
1774272999.415,18.00,0.053,15,0,0,0
1774272999.496,18.00,0.053,15,0,0,0
1774272999.577,18.00,0.053,15,0,0,0
1774272999.658,18.00,0.055,15,0,0,0
1774272999.739,18.00,0.055,15,0,0,0
1774272999.820,18.00,0.055,15,0,0,0
1774272999.901,18.00,0.053,15,0,0,0
1774272999.982,18.00,0.053,15,0,0,0
1774273000.064,18.00,0.053,15,0,0,0
1774273000.145,18.00,0.056,15,0,0,0
1774273000.226,18.00,0.056,15,0,0,0
1774273000.307,18.00,0.056,15,0,0,0
1774273000.388,18.00,0.053,15,0,0,0
1774273000.469,18.00,0.053,15,0,0,0
1774273000.551,18.00,0.053,15,0,0,0
1774273000.632,18.00,0.053,15,0,0,0
1774273000.713,18.00,0.053,15,0,0,0
1774273000.794,18.00,0.053,15,0,0,0
1774273000.875,18.00,0.053,15,0,0,0
1774273000.956,18.00,0.053,15,0,0,0
1774273001.037,18.00,0.053,15,0,0,0
1774273001.118,18.00,0.111,15,0,0,0
1774273001.199,18.00,0.111,15,0,0,0
1774273001.280,18.00,0.111,15,0,0,0
1774273001.362,18.00,0.117,11,0,0,0
1774273001.443,18.00,0.117,0,0,0,0
1774273001.524,18.00,0.117,0,0,0,0
1774273001.605,18.00,0.053,0,0,0,0
1774273001.686,18.00,0.053,0,0,0,0
1774273001.768,18.00,0.053,0,0,0,0
1774273001.849,18.00,0.111,0,0,0,0
1774273001.930,18.00,0.111,0,0,0,0
1774273002.011,18.00,0.111,0,0,0,0
1774273002.093,18.00,0.111,0,0,0,0
1774273002.174,18.00,0.155,0,0,0,0
1774273002.255,18.00,0.155,0,0,0,0
1774273002.336,18.00,0.155,0,0,0,0
1774273002.417,18.00,0.076,0,0,0,0
1774273002.498,18.00,0.076,0,0,0,0
1774273002.579,18.00,0.076,0,0,0,0
1774273002.660,18.00,0.053,18,0,0,0
1774273002.741,18.00,0.053,27,0,0,0
1774273002.822,18.00,0.053,46,0,0,0
1774273002.904,18.00,0.053,63,0,0,0
1774273002.985,18.00,0.201,75,0,0,0
1774273003.066,18.00,0.201,79,0,0,0
1774273003.147,18.00,0.201,96,0,0,0
1774273003.228,18.00,0.262,108,0,0,0
1774273003.309,18.00,0.262,114,0,0,0
1774273003.390,18.00,0.262,124,0,0,0
1774273003.471,18.00,0.513,129,0,0,0
1774273003.553,18.00,0.513,134,0,0,0
1774273003.634,18.00,0.513,141,0,0,0
1774273003.715,18.00,0.513,143,0,0,0
1774273003.796,18.00,0.562,143,0,0,0
1774273003.877,18.00,0.562,143,0,0,0
1774273003.958,18.00,0.562,143,0,0,0
1774273004.039,18.00,0.885,143,0,0,0
1774273004.120,18.00,0.885,143,0,0,0
1774273004.202,18.00,0.885,143,0,0,0
1774273004.283,18.00,0.885,143,0,0,0
1774273004.364,18.00,1.022,143,0,0,0
1774273004.445,18.00,1.022,143,0,0,0
1774273004.526,18.00,1.022,143,0,0,0
1774273004.607,18.00,1.022,143,0,0,0
1774273004.688,18.00,1.230,143,0,0,0
1774273004.769,18.00,1.230,143,0,0,0
1774273004.850,18.00,1.230,143,0,0,0
1774273004.931,18.00,1.299,143,0,0,0
1774273005.012,18.00,1.299,143,0,0,0
1774273005.093,18.00,1.299,143,0,0,0
1774273005.174,18.00,1.299,143,0,0,0
1774273005.255,18.00,1.520,143,0,0,0
1774273005.336,18.00,1.520,143,0,0,0
1774273005.418,18.00,1.520,140,0,0,0
1774273005.499,18.00,1.389,136,0,0,0
1774273005.600,18.00,1.389,129,0,0,0
1774273005.681,18.00,1.389,126,0,0,0
1774273005.763,18.00,1.389,124,0,0,0
1774273005.844,18.00,0.697,121,0,0,0
1774273005.925,18.00,0.697,108,0,0,0
1774273006.006,18.00,0.697,93,0,0,0
1774273006.088,18.00,0.697,93,0,0,0
1774273006.169,18.00,0.699,72,0,0,0
1774273006.250,18.00,0.699,65,0,0,0
1774273006.331,18.00,0.699,60,0,0,0
1774273006.412,18.00,0.483,60,0,0,0
1774273006.494,18.00,0.483,53,0,0,0
1774273006.575,18.00,0.483,43,0,0,0
1774273006.656,18.00,0.483,41,0,0,0
1774273006.737,18.00,0.490,34,0,0,0
1774273006.818,18.00,0.490,30,0,0,0
1774273006.900,18.00,0.490,30,0,0,0
1774273006.981,18.00,0.490,30,0,0,0
1774273007.062,18.00,0.523,30,0,0,0
1774273007.143,18.00,0.523,27,0,0,0
1774273007.225,18.00,0.523,18,0,0,0
1774273007.306,18.00,0.523,11,0,0,0
1774273007.387,18.00,0.407,10,0,0,0
1774273007.468,18.00,0.407,10,0,0,0
1774273007.550,18.00,0.407,6,0,0,0
1774273007.631,18.00,0.407,1,0,0,0
1774273007.712,18.00,0.211,0,0,0,0
1774273007.813,18.00,0.211,0,0,0,0
1774273007.894,18.00,0.211,0,0,0,0
1774273007.976,18.00,0.211,0,0,0,0
1774273008.057,18.00,0.193,0,0,0,0
1774273008.138,18.00,0.193,0,0,0,0
1774273008.219,18.00,0.193,0,0,0,0
1774273008.300,18.00,0.193,0,0,0,0
1774273008.382,18.00,0.083,0,0,0,0
1774273008.484,18.00,0.083,16,0,0,0
1774273008.565,18.00,0.083,32,0,0,0
1774273008.646,18.00,0.102,44,0,0,0
1774273008.747,18.00,0.102,49,0,0,0
1774273008.829,18.00,0.102,55,0,0,0
1774273008.910,18.00,0.102,67,0,0,0
1774273008.991,18.00,0.261,77,0,0,0
1774273009.072,18.00,0.261,77,0,0,0
1774273009.153,18.00,0.261,77,0,0,0
1774273009.234,18.00,0.261,79,0,0,0
1774273009.315,18.00,0.443,79,0,0,0
1774273009.417,18.00,0.443,79,0,0,0
1774273009.498,18.00,0.443,79,0,0,0
1774273009.579,18.00,0.443,81,0,0,0
1774273009.680,18.00,0.659,82,0,0,0
1774273009.761,18.00,0.659,82,0,0,0
1774273009.842,18.00,0.659,84,0,0,0
1774273009.923,18.00,0.659,86,0,0,0
1774273010.004,18.00,0.780,110,0,0,0
1774273010.085,18.00,0.780,110,0,0,0
1774273010.166,18.00,0.780,110,0,0,0
1774273010.248,18.00,0.780,112,0,0,0
1774273010.329,18.00,1.091,115,0,0,0
1774273010.430,18.00,1.091,121,0,0,0
1774273010.512,18.00,1.091,121,0,0,0
1774273010.593,18.00,1.091,121,0,0,0
1774273010.674,18.00,1.197,121,0,0,0
1774273010.775,18.00,1.197,121,0,0,0
1774273010.857,18.00,1.197,121,0,0,0
1774273010.938,18.00,1.197,121,0,0,0
1774273011.019,18.00,1.170,121,0,0,0
1774273011.100,18.00,1.170,121,0,0,0
1774273011.181,18.00,1.170,103,0,0,0
1774273011.262,18.00,1.170,6,0,0,0
1774273011.343,18.00,1.170,0,0,0,0
1774273011.424,18.00,0.832,0,0,0,0
1774273011.546,18.00,0.832,0,0,0,0
1774273011.627,18.00,0.832,0,0,0,0
1774273011.728,18.00,0.570,0,0,0,0
1774273011.829,18.00,0.570,0,0,0,0
1774273011.910,18.00,0.570,0,0,0,0
1774273011.991,18.00,0.570,0,0,0,0
1774273012.072,18.00,0.570,0,0,0,0
1774273012.154,18.00,0.491,0,0,0,0
1774273012.255,18.00,0.491,0,0,0,0
1774273012.336,18.00,0.491,0,0,0,0
1774273012.437,18.00,0.439,0,0,0,0
1774273012.539,18.00,0.439,0,0,0,0
1774273012.620,18.00,0.439,0,0,0,0
1774273012.701,18.00,0.439,0,0,0,0
1774273012.802,18.00,0.364,0,0,0,0
1774273012.903,18.00,0.364,0,0,0,0
1774273012.985,18.00,0.364,0,0,0,0
1774273013.086,18.00,0.364,0,0,0,0
1774273013.167,18.00,0.183,0,0,0,0
1774273013.268,18.00,0.183,0,0,0,0
1774273013.370,18.00,0.183,0,0,0,0
1774273013.451,18.00,0.183,18,0,0,0
1774273013.552,18.00,0.147,41,0,0,0
1774273013.633,18.00,0.147,62,0,0,0
1774273013.735,18.00,0.147,86,0,0,0
1774273013.838,18.00,0.147,103,0,0,0
1774273013.919,18.00,0.261,117,0,0,0
1774273014.020,18.00,0.261,128,0,0,0
1774273014.122,18.00,0.261,128,0,0,0
1774273014.203,18.00,0.261,128,0,0,0
1774273014.284,18.00,0.503,128,0,0,0
1774273014.386,18.00,0.503,128,0,0,0
1774273014.487,18.00,0.503,128,0,0,0
1774273014.568,18.00,0.503,128,0,0,0
1774273014.669,18.00,0.208,128,0,0,0
1774273014.771,18.00,0.208,126,0,0,0
