# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774271806.977 18.00 0.056
1774271807.065 18.00 0.056
1774271807.150 18.00 0.056
1774271807.231 18.00 0.055
1774271807.312 18.00 0.055
1774271807.393 18.00 0.055
1774271807.474 18.00 0.055
1774271807.555 18.00 0.055
1774271807.636 18.00 0.055
1774271807.717 18.00 0.055
1774271807.798 18.00 0.055
1774271807.879 18.00 0.055
1774271807.960 18.00 0.055
1774271808.042 18.00 0.055
1774271808.123 18.00 0.055
1774271808.204 18.00 0.055
1774271808.287 18.00 0.055
1774271808.368 18.00 0.055
1774271808.449 18.00 0.055
1774271808.530 18.00 0.055
1774271808.611 18.00 0.055
1774271808.693 18.00 0.055
1774271808.774 18.00 0.055
1774271808.855 18.00 0.053
1774271808.936 18.00 0.053
1774271809.017 18.00 0.053
1774271809.098 18.00 0.055
1774271809.179 18.00 0.055
1774271809.260 18.00 0.055
1774271809.341 18.00 0.056
1774271809.422 18.00 0.056
1774271809.503 18.00 0.056
1774271809.584 18.00 0.055
1774271809.665 18.00 0.055
1774271809.746 18.00 0.055
1774271809.827 18.00 0.053
1774271809.909 18.00 0.053
1774271809.990 18.00 0.053
1774271810.071 18.00 0.055
1774271810.152 18.00 0.055
1774271810.233 18.00 0.055
1774271810.314 18.00 0.055
1774271810.395 18.00 0.055
1774271810.476 18.00 0.055
1774271810.557 18.00 0.055
1774271810.638 18.00 0.055
1774271810.719 18.00 0.055
1774271810.800 18.00 0.055
1774271810.882 18.00 0.055
1774271810.963 18.00 0.055
1774271811.044 18.00 0.055
1774271811.125 18.00 0.056
1774271811.206 18.00 0.056
1774271811.287 18.00 0.056
1774271811.368 18.00 0.055
1774271811.449 18.00 0.055
1774271811.530 18.00 0.055
1774271811.611 18.00 0.055
1774271811.693 18.00 0.055
1774271811.774 18.00 0.055
1774271811.855 18.00 0.055
1774271811.936 18.00 0.078
1774271812.017 18.00 0.078
1774271812.098 18.00 0.078
1774271812.179 18.00 0.078
1774271812.260 18.00 0.129
1774271812.341 18.00 0.129
1774271812.422 18.00 0.129
1774271812.503 18.00 0.068
