t,U,I,throttle0,throttle1,throttle2,throttle3
1774271997.939,18.00,0.055,6,0,0,0
1774271998.034,18.00,0.055,6,0,0,0
1774271998.116,18.00,0.055,6,0,0,0
1774271998.197,18.00,0.055,6,0,0,0
1774271998.278,18.00,0.055,6,0,0,0
1774271998.359,18.00,0.055,6,0,0,0
1774271998.440,18.00,0.055,6,0,0,0
1774271998.522,18.00,0.055,6,0,0,0
1774271998.603,18.00,0.055,6,0,0,0
1774271998.705,18.00,0.055,6,0,0,0
1774271998.786,18.00,0.055,6,0,0,0
1774271998.867,18.00,0.056,6,0,0,0
1774271998.952,18.00,0.056,6,0,0,0
1774271999.033,18.00,0.056,6,0,0,0
1774271999.115,18.00,0.056,6,0,0,0
1774271999.200,18.00,0.056,6,0,0,0
1774271999.304,18.00,0.056,6,0,0,0
1774271999.385,18.00,0.056,6,0,0,0
1774271999.467,18.00,0.056,6,0,0,0
1774271999.548,18.00,0.055,6,0,0,0
1774271999.649,18.00,0.055,6,0,0,0
1774271999.750,18.00,0.055,6,0,0,0
1774271999.831,18.00,0.055,6,0,0,0
1774271999.933,18.00,0.055,6,0,0,0
1774272000.034,18.00,0.055,6,0,0,0
1774272000.115,18.00,0.055,6,0,0,0
1774272000.216,18.00,0.055,6,0,0,0
1774272000.318,18.00,0.055,6,0,0,0
1774272000.399,18.00,0.055,6,0,0,0
1774272000.500,18.00,0.055,6,0,0,0
1774272000.602,18.00,0.055,6,0,0,0
1774272000.683,18.00,0.055,6,0,0,0
1774272000.784,18.00,0.055,6,0,0,0
1774272000.886,18.00,0.055,6,0,0,0
1774272000.967,18.00,0.055,6,0,0,0
1774272001.068,18.00,0.055,6,0,0,0
1774272001.169,18.00,0.055,6,0,0,0
1774272001.250,18.00,0.055,6,0,0,0
1774272001.331,18.00,0.055,6,0,0,0
1774272001.432,18.00,0.055,6,0,0,0
1774272001.534,18.00,0.055,6,0,0,0
1774272001.615,18.00,0.055,6,0,0,0
1774272001.716,18.00,0.055,6,0,0,0
1774272001.817,18.00,0.055,6,0,0,0
1774272001.899,18.00,0.055,6,0,0,0
1774272001.980,18.00,0.055,6,0,0,0
1774272002.081,18.00,0.055,6,0,0,0
1774272002.182,18.00,0.055,6,0,0,0
1774272002.263,18.00,0.055,6,0,0,0
1774272002.365,18.00,0.055,16,0,0,0
1774272002.466,18.00,0.055,51,0,0,0
1774272002.547,18.00,0.055,58,0,0,0
1774272002.628,18.00,0.055,63,0,0,0
1774272002.730,18.00,0.122,65,0,0,0
1774272002.831,18.00,0.122,65,0,0,0
1774272002.912,18.00,0.122,65,0,0,0
1774272003.013,18.00,0.122,6,0,0,0
1774272003.094,18.00,0.071,6,0,0,0
1774272003.196,18.00,0.071,6,0,0,0
1774272003.277,18.00,0.071,6,0,0,0
1774272003.378,18.00,0.071,6,0,0,0
1774272003.479,18.00,0.132,0,0,0,0
1774272003.560,18.00,0.132,0,0,0,0
1774272003.662,18.00,0.132,0,0,0,0
1774272003.744,18.00,0.132,0,0,0,0
1774272003.845,18.00,0.120,0,0,0,0
1774272003.926,18.00,0.120,0,0,0,0
1774272004.027,18.00,0.120,0,0,0,0
1774272004.128,18.00,0.120,0,0,0,0
1774272004.210,18.00,0.055,0,0,0,0
1774272004.311,18.00,0.055,0,0,0,0
1774272004.412,18.00,0.055,0,0,0,0
1774272004.493,18.00,0.055,4,0,0,0
1774272004.574,18.00,0.053,4,0,0,0
1774272004.675,18.00,0.053,4,0,0,0
1774272004.777,18.00,0.053,32,0,0,0
1774272004.858,18.00,0.053,34,0,0,0
1774272004.959,18.00,0.264,34,0,0,0
1774272005.060,18.00,0.264,34,0,0,0
1774272005.141,18.00,0.264,36,0,0,0
1774272005.222,18.00,0.264,36,0,0,0
1774272005.324,18.00,0.354,36,0,0,0
1774272005.425,18.00,0.354,37,0,0,0
1774272005.506,18.00,0.354,37,0,0,0
1774272005.607,18.00,0.354,41,0,0,0
1774272005.708,18.00,0.397,43,0,0,0
1774272005.790,18.00,0.397,44,0,0,0
1774272005.871,18.00,0.397,48,0,0,0
1774272005.972,18.00,0.592,49,0,0,0
1774272006.073,18.00,0.592,49,0,0,0
1774272006.154,18.00,0.592,53,0,0,0
1774272006.255,18.00,0.592,55,0,0,0
1774272006.336,18.00,0.537,55,0,0,0
1774272006.438,18.00,0.537,55,0,0,0
1774272006.519,18.00,0.537,55,0,0,0
1774272006.620,18.00,0.537,55,0,0,0
1774272006.721,18.00,0.501,55,0,0,0
1774272006.802,18.00,0.501,55,0,0,0
1774272006.904,18.00,0.501,55,0,0,0
1774272006.985,18.00,0.501,55,0,0,0
1774272007.086,18.00,0.559,55,0,0,0
1774272007.167,18.00,0.559,55,0,0,0
1774272007.269,18.00,0.559,55,0,0,0
1774272007.370,18.00,0.559,55,0,0,0
1774272007.451,18.00,0.549,55,0,0,0
1774272007.552,18.00,0.549,56,0,0,0
1774272007.633,18.00,0.549,65,0,0,0
1774272007.735,18.00,0.549,69,0,0,0
1774272007.816,18.00,0.766,74,0,0,0
1774272007.918,18.00,0.766,81,0,0,0
1774272008.019,18.00,0.766,88,0,0,0
1774272008.101,18.00,0.766,88,0,0,0
1774272008.202,18.00,1.004,96,0,0,0
1774272008.303,18.00,1.004,101,0,0,0
1774272008.384,18.00,1.004,105,0,0,0
1774272008.466,18.00,1.004,105,0,0,0
1774272008.567,18.00,1.104,105,0,0,0
1774272008.668,18.00,1.104,105,0,0,0
1774272008.750,18.50,1.104,82,0,0,0
1774272008.851,21.61,0.586,55,0,0,0
1774272008.952,18.75,0.586,43,0,0,0
1774272009.033,19.59,0.586,43,0,0,0
1774272009.114,18.00,0.586,43,0,0,0
1774272009.216,18.00,0.209,43,0,0,0
1774272009.317,18.00,0.209,43,0,0,0
1774272009.398,18.00,0.209,43,0,0,0
1774272009.499,18.00,0.209,43,0,0,0
1774272009.581,18.00,0.432,43,0,0,0
1774272009.682,18.00,0.432,43,0,0,0
1774272009.763,18.00,0.432,43,0,0,0
1774272009.864,18.00,0.432,43,0,0,0
1774272009.965,18.00,0.463,43,0,0,0
1774272010.046,18.00,0.463,43,0,0,0
1774272010.148,18.00,0.463,43,0,0,0
1774272010.229,18.00,0.463,43,0,0,0
1774272010.330,18.00,0.439,43,0,0,0
1774272010.411,18.00,0.439,43,0,0,0
1774272010.513,18.00,0.439,43,0,0,0
1774272010.614,18.00,0.439,44,0,0,0
1774272010.695,18.00,0.460,44,0,0,0
1774272010.796,18.00,0.460,46,0,0,0
1774272010.897,18.00,0.460,46,0,0,0
1774272010.978,18.00,0.460,46,0,0,0
1774272011.080,18.00,0.440,46,0,0,0
1774272011.181,18.00,0.440,48,0,0,0
1774272011.262,18.00,0.440,49,0,0,0
1774272011.343,18.00,0.440,55,0,0,0
1774272011.444,18.00,0.541,58,0,0,0
1774272011.546,18.00,0.541,60,0,0,0
1774272011.627,18.00,0.541,60,0,0,0
1774272011.728,18.00,0.541,60,0,0,0
1774272011.829,18.00,0.590,60,0,0,0
1774272011.911,18.00,0.590,60,0,0,0
1774272011.992,18.00,0.590,60,0,0,0
1774272012.093,18.00,0.598,60,0,0,0
1774272012.194,18.00,0.598,60,0,0,0
1774272012.275,18.00,0.598,63,0,0,0
1774272012.377,18.00,0.598,70,0,0,0
1774272012.458,18.00,0.697,75,0,0,0
1774272012.559,18.00,0.697,77,0,0,0
1774272012.640,18.00,0.697,75,0,0,0
1774272012.741,18.00,0.697,58,0,0,0
1774272012.842,21.89,0.756,43,0,0,0
1774272012.924,20.60,0.756,37,0,0,0
1774272013.025,18.00,0.756,37,0,0,0
1774272013.106,18.00,0.756,37,0,0,0
1774272013.207,18.00,0.203,43,0,0,0
1774272013.288,18.00,0.203,58,0,0,0
1774272013.389,18.00,0.203,72,0,0,0
1774272013.490,18.00,0.203,72,0,0,0
1774272013.571,18.00,0.755,72,0,0,0
1774272013.673,18.00,0.755,60,0,0,0
1774272013.754,18.95,0.755,55,0,0,0
1774272013.855,18.00,0.755,53,0,0,0
1774272013.936,18.00,0.381,53,0,0,0
1774272014.037,18.00,0.381,53,0,0,0
1774272014.138,18.00,0.381,48,0,0,0
1774272014.219,18.00,0.381,46,0,0,0
1774272014.300,18.00,0.465,46,0,0,0
1774272014.401,18.00,0.465,43,0,0,0
1774272014.502,18.00,0.465,43,0,0,0
1774272014.584,18.00,0.465,41,0,0,0
1774272014.685,18.00,0.424,39,0,0,0
1774272014.786,18.00,0.424,37,0,0,0
1774272014.867,18.00,0.424,32,0,0,0
1774272014.948,18.45,0.424,29,0,0,0
1774272015.049,18.00,0.366,25,0,0,0
