t,U,I,throttle0,throttle1,throttle2,throttle3
1774273111.644,18.00,0.053,3,0,0,0
1774273111.737,18.00,0.053,3,0,0,0
1774273111.818,18.00,0.053,3,0,0,0
1774273111.899,18.00,0.055,3,0,0,0
1774273111.980,18.00,0.055,3,0,0,0
1774273112.061,18.00,0.055,3,0,0,0
1774273112.142,18.00,0.055,3,0,0,0
1774273112.223,18.00,0.055,3,0,0,0
1774273112.305,18.00,0.055,3,0,0,0
1774273112.386,18.00,0.055,3,0,0,0
1774273112.467,18.00,0.055,3,0,0,0
1774273112.548,18.00,0.055,3,0,0,0
1774273112.630,18.00,0.055,3,0,0,0
1774273112.711,18.00,0.056,3,0,0,0
1774273112.792,18.00,0.056,3,0,0,0
1774273112.873,18.00,0.056,3,0,0,0
1774273112.954,18.00,0.055,3,0,0,0
1774273113.035,18.00,0.055,3,0,0,0
1774273113.116,18.00,0.055,3,0,0,0
1774273113.197,18.00,0.055,3,0,0,0
1774273113.278,18.00,0.055,3,0,0,0
1774273113.360,18.00,0.055,3,0,0,0
1774273113.441,18.00,0.055,3,0,0,0
1774273113.522,18.00,0.055,3,0,0,0
1774273113.606,18.00,0.055,3,0,0,0
1774273113.693,18.00,0.055,3,0,0,0
1774273113.775,18.00,0.055,3,0,0,0
1774273113.856,18.00,0.055,3,0,0,0
1774273113.937,18.00,0.055,3,0,0,0
1774273114.018,18.00,0.055,3,0,0,0
1774273114.100,18.00,0.055,3,0,0,0
1774273114.181,18.00,0.055,3,0,0,0
1774273114.262,18.00,0.055,3,0,0,0
1774273114.343,18.00,0.055,3,0,0,0
1774273114.424,18.00,0.055,3,0,0,0
1774273114.505,18.00,0.055,3,0,0,0
1774273114.586,18.00,0.055,3,0,0,0
1774273114.668,18.00,0.055,3,0,0,0
1774273114.749,18.00,0.055,6,0,0,0
1774273114.830,18.00,0.055,23,0,0,0
1774273114.911,18.00,0.055,32,0,0,0
1774273114.992,18.00,0.055,39,0,0,0
1774273115.073,18.00,0.055,39,0,0,0
1774273115.155,18.00,0.055,37,0,0,0
1774273115.236,18.00,0.096,34,0,0,0
1774273115.317,18.00,0.096,29,0,0,0
1774273115.398,18.00,0.096,20,0,0,0
1774273115.479,18.00,0.096,11,0,0,0
1774273115.560,18.00,0.117,3,0,0,0
1774273115.641,18.00,0.117,0,0,0,0
1774273115.722,18.00,0.117,0,0,0,0
1774273115.803,18.00,0.055,0,0,0,0
1774273115.884,18.00,0.055,0,0,0,0
1774273115.965,18.00,0.055,0,0,0,0
1774273116.046,18.00,0.055,0,0,0,0
1774273116.127,18.00,0.158,0,0,0,0
1774273116.208,18.00,0.158,0,0,0,0
1774273116.290,18.00,0.158,0,0,0,0
1774273116.371,18.00,0.158,0,0,0,0
1774273116.452,18.00,0.122,0,0,0,0
1774273116.533,18.00,0.122,0,0,0,0
1774273116.614,18.00,0.122,23,0,0,0
1774273116.696,18.00,0.122,43,0,0,0
1774273116.777,18.00,0.114,60,0,0,0
1774273116.858,18.00,0.114,74,0,0,0
1774273116.939,18.00,0.114,79,0,0,0
1774273117.020,18.00,0.114,82,0,0,0
1774273117.101,18.00,0.264,82,0,0,0
1774273117.182,18.00,0.264,82,0,0,0
1774273117.264,18.00,0.264,84,0,0,0
1774273117.345,18.00,0.633,101,0,0,0
1774273117.426,18.00,0.633,105,0,0,0
1774273117.507,18.00,0.633,105,0,0,0
1774273117.588,18.00,0.633,105,0,0,0
1774273117.669,18.00,0.823,105,0,0,0
1774273117.771,18.00,0.823,105,0,0,0
1774273117.852,18.00,0.823,105,0,0,0
1774273117.933,18.00,0.823,105,0,0,0
1774273118.014,18.00,1.116,105,0,0,0
1774273118.095,18.00,1.116,105,0,0,0
1774273118.176,18.00,1.116,105,0,0,0
1774273118.257,18.00,1.116,105,0,0,0
1774273118.338,18.00,1.305,105,0,0,0
1774273118.420,18.00,1.305,105,0,0,0
1774273118.521,18.00,1.305,105,0,0,0
1774273118.602,18.00,1.305,105,0,0,0
1774273118.683,18.00,0.951,105,0,0,0
1774273118.805,18.00,0.951,105,0,0,0
1774273118.886,18.00,0.951,86,0,0,0
1774273118.967,18.00,0.951,60,0,0,0
1774273119.048,18.00,0.735,48,0,0,0
1774273119.130,18.00,0.735,48,0,0,0
1774273119.211,18.00,0.735,48,0,0,0
1774273119.292,18.00,0.735,41,0,0,0
1774273119.373,18.00,0.546,37,0,0,0
1774273119.474,18.00,0.546,34,0,0,0
1774273119.556,18.00,0.546,30,0,0,0
1774273119.637,18.00,0.498,29,0,0,0
1774273119.718,18.00,0.498,27,0,0,0
1774273119.799,18.00,0.498,23,0,0,0
1774273119.881,18.00,0.498,22,0,0,0
1774273119.962,18.00,0.498,20,0,0,0
1774273120.043,18.00,0.200,0,0,0,0
1774273120.124,18.00,0.200,0,0,0,0
1774273120.206,18.00,0.200,0,0,0,0
1774273120.287,18.00,0.200,0,0,0,0
1774273120.368,18.00,0.318,1,0,0,0
1774273120.469,18.00,0.318,103,0,0,0
1774273120.551,18.00,0.318,114,0,0,0
1774273120.632,18.00,0.318,119,0,0,0
1774273120.713,18.00,0.785,121,0,0,0
1774273120.814,18.00,0.785,122,0,0,0
1774273120.895,18.00,0.785,129,0,0,0
1774273120.977,18.00,0.785,136,0,0,0
1774273121.058,18.00,0.821,138,0,0,0
1774273121.159,18.00,0.821,138,0,0,0
1774273121.260,18.00,0.821,0,0,0,0
1774273121.342,18.00,0.821,0,0,0,0
1774273121.423,18.00,1.239,0,0,0,0
1774273121.504,18.00,1.239,0,0,0,0
1774273121.585,18.00,1.239,0,0,0,0
1774273121.666,18.00,1.239,0,0,0,0
1774273121.747,18.00,0.374,0,0,0,0
1774273121.829,18.00,0.374,0,0,0,0
1774273121.910,18.00,0.374,0,0,0,0
1774273122.011,18.00,0.374,0,0,0,0
1774273122.113,18.00,0.445,16,0,0,0
1774273122.194,18.00,0.445,84,0,0,0
1774273122.295,18.00,0.445,0,0,0,0
1774273122.396,18.00,0.445,0,0,0,0
1774273122.478,18.00,0.448,0,0,0,0
1774273122.579,18.00,0.448,0,0,0,0
1774273122.681,18.00,0.448,69,0,0,0
1774273122.762,18.00,0.448,240,0,0,0
1774273122.864,18.00,0.300,162,0,0,0
1774273122.965,18.00,0.300,0,0,0,0
1774273123.046,18.00,0.300,0,0,0,0
1774273123.127,18.00,0.300,0,0,0,0
1774273123.229,18.00,0.308,0,0,0,0
1774273123.330,18.00,0.308,0,0,0,0
1774273123.411,18.00,0.308,0,0,0,0
1774273123.513,18.00,0.036,0,0,0,0
1774273123.614,18.00,0.036,0,0,0,0
1774273123.695,18.00,0.036,255,0,0,0
1774273123.776,18.00,0.036,255,0,0,0
1774273123.878,18.00,0.216,0,0,0,0
1774273123.979,18.00,0.216,0,0,0,0
1774273124.060,18.00,0.216,0,0,0,0
1774273124.161,18.00,0.216,0,0,0,0
1774273124.243,18.00,0.051,0,0,0,0
1774273124.344,18.00,0.051,0,0,0,0
1774273124.446,18.00,0.051,134,0,0,0
1774273124.527,18.00,0.051,152,0,0,0
1774273124.628,18.00,0.190,152,0,0,0
1774273124.710,18.00,0.190,152,0,0,0
1774273124.811,18.00,0.190,152,0,0,0
1774273124.912,18.00,0.190,152,0,0,0
1774273124.993,18.00,0.272,154,0,0,0
1774273125.094,18.00,0.272,154,0,0,0
1774273125.176,18.00,0.272,154,0,0,0
1774273125.277,18.00,0.272,159,0,0,0
1774273125.358,18.00,0.776,159,0,0,0
1774273125.459,18.00,0.776,159,0,0,0
1774273125.560,18.00,0.776,159,0,0,0
1774273125.642,18.00,0.776,159,0,0,0
1774273125.723,18.00,0.839,159,0,0,0
1774273125.824,18.00,0.839,159,0,0,0
1774273125.926,18.00,0.839,154,0,0,0
1774273126.007,18.00,0.839,148,0,0,0
1774273126.108,18.00,1.085,148,0,0,0
1774273126.210,18.00,1.085,148,0,0,0
1774273126.291,18.00,1.085,148,0,0,0
1774273126.372,18.00,1.085,148,0,0,0
1774273126.473,18.00,1.617,148,0,0,0
