t,U,I,throttle0,throttle1,throttle2,throttle3
1774271240.048,18.00,0.055,4,0,0,0
1774271240.141,18.00,0.055,4,0,0,0
1774271240.236,18.00,0.055,4,0,0,0
1774271240.338,18.00,0.055,4,0,0,0
1774271240.419,18.00,0.055,4,0,0,0
1774271240.500,18.00,0.055,4,0,0,0
1774271240.601,18.00,0.055,4,0,0,0
1774271240.703,18.00,0.055,4,0,0,0
1774271240.784,18.00,0.055,4,0,0,0
1774271240.885,18.00,0.055,4,0,0,0
1774271240.987,18.00,0.055,4,0,0,0
1774271241.068,18.00,0.055,4,0,0,0
1774271241.149,18.00,0.055,4,0,0,0
1774271241.251,18.00,0.055,4,0,0,0
1774271241.353,18.00,0.055,4,0,0,0
1774271241.434,18.00,0.055,4,0,0,0
1774271241.535,18.00,0.056,4,0,0,0
1774271241.637,18.00,0.056,4,0,0,0
1774271241.718,18.00,0.056,4,0,0,0
1774271241.819,18.00,0.056,4,0,0,0
1774271241.921,18.00,0.055,4,0,0,0
1774271242.002,18.00,0.055,4,0,0,0
1774271242.083,18.00,0.055,4,0,0,0
1774271242.185,18.00,0.056,4,0,0,0
1774271242.286,18.00,0.056,4,0,0,0
1774271242.367,18.00,0.056,4,0,0,0
1774271242.469,18.00,0.056,4,0,0,0
1774271242.550,18.00,0.053,4,0,0,0
1774271242.652,18.00,0.053,4,0,0,0
1774271242.754,18.00,0.053,4,0,0,0
1774271242.836,18.00,0.053,4,0,0,0
1774271242.937,18.00,0.055,4,0,0,0
1774271243.018,18.00,0.055,4,0,0,0
1774271243.120,18.00,0.055,4,0,0,0
1774271243.221,18.00,0.055,4,0,0,0
1774271243.302,18.00,0.055,4,0,0,0
1774271243.404,18.00,0.055,4,0,0,0
1774271243.485,18.00,0.055,4,0,0,0
1774271243.586,18.00,0.055,4,0,0,0
1774271243.667,18.00,0.055,4,0,0,0
1774271243.769,18.00,0.055,4,0,0,0
1774271243.870,18.00,0.055,4,0,0,0
1774271243.951,18.00,0.055,4,0,0,0
1774271244.032,18.00,0.053,4,0,0,0
1774271244.134,18.00,0.053,4,0,0,0
1774271244.215,18.00,0.053,4,0,0,0
1774271244.296,18.00,0.053,4,0,0,0
1774271244.377,18.00,0.055,4,0,0,0
1774271244.458,18.00,0.055,4,0,0,0
1774271244.559,18.00,0.055,4,0,0,0
1774271244.640,18.00,0.055,4,0,0,0
1774271244.742,18.00,0.055,4,0,0,0
1774271244.823,18.00,0.055,4,0,0,0
1774271244.924,18.00,0.055,4,0,0,0
1774271245.025,18.00,0.055,4,0,0,0
1774271245.106,18.00,0.055,4,0,0,0
1774271245.207,18.00,0.055,4,0,0,0
1774271245.289,18.00,0.055,4,0,0,0
1774271245.390,18.00,0.055,4,0,0,0
1774271245.471,18.00,0.055,4,0,0,0
1774271245.572,18.00,0.055,4,0,0,0
1774271245.673,18.00,0.055,4,0,0,0
1774271245.754,18.00,0.055,4,0,0,0
1774271245.836,18.00,0.053,4,0,0,0
1774271245.937,18.00,0.053,4,0,0,0
1774271246.038,18.00,0.053,4,0,0,0
1774271246.119,18.00,0.053,4,0,0,0
1774271246.221,18.00,0.056,4,0,0,0
1774271246.322,18.00,0.056,4,0,0,0
1774271246.403,18.00,0.056,4,0,0,0
1774271246.484,18.00,0.056,4,0,0,0
1774271246.588,18.00,0.053,4,0,0,0
1774271246.669,18.00,0.053,4,0,0,0
1774271246.750,18.00,0.053,4,0,0,0
1774271246.832,18.00,0.053,4,0,0,0
1774271246.913,18.00,0.055,4,0,0,0
1774271247.014,18.00,0.055,4,0,0,0
1774271247.115,18.00,0.055,4,0,0,0
1774271247.196,18.00,0.055,4,0,0,0
1774271247.278,18.00,0.053,4,0,0,0
1774271247.379,18.00,0.053,4,0,0,0
1774271247.480,18.00,0.053,4,0,0,0
1774271247.561,18.00,0.053,4,0,0,0
1774271247.663,18.00,0.055,4,0,0,0
1774271247.764,18.00,0.055,4,0,0,0
1774271247.845,18.00,0.055,4,0,0,0
1774271247.926,18.00,0.055,4,0,0,0
1774271248.028,18.00,0.055,4,0,0,0
1774271248.129,18.00,0.055,4,0,0,0
1774271248.210,18.00,0.055,4,0,0,0
1774271248.311,18.00,0.063,4,0,0,0
1774271248.413,18.00,0.063,4,0,0,0
1774271248.494,18.00,0.063,4,0,0,0
1774271248.595,18.00,0.063,4,0,0,0
1774271248.676,18.00,0.127,4,0,0,0
1774271248.777,18.00,0.127,4,0,0,0
1774271248.858,18.00,0.127,6,0,0,0
1774271248.960,18.00,0.127,6,0,0,0
1774271249.061,18.00,0.055,6,0,0,0
1774271249.142,18.00,0.055,6,0,0,0
1774271249.243,18.00,0.055,0,0,0,0
1774271249.344,18.00,0.055,0,0,0,0
1774271249.425,18.00,0.091,0,0,0,0
1774271249.506,18.00,0.091,0,0,0,0
1774271249.607,18.00,0.091,0,0,0,0
1774271249.709,18.00,0.091,0,0,0,0
1774271249.790,18.00,0.158,0,0,0,0
1774271249.891,18.00,0.158,0,0,0,0
1774271249.992,18.00,0.158,0,0,0,0
1774271250.073,18.00,0.158,0,0,0,0
1774271250.155,18.00,0.055,0,0,0,0
1774271250.256,18.00,0.055,0,0,0,0
1774271250.357,18.00,0.055,11,0,0,0
1774271250.439,17.98,0.055,36,0,0,0
1774271250.540,18.00,0.265,43,0,0,0
1774271250.621,18.00,1.253,53,0,0,0
1774271250.702,18.00,0.719,55,0,0,0
1774271250.783,18.00,0.567,55,0,0,0
1774271250.864,18.00,0.565,55,0,0,0
1774271250.945,18.00,0.562,55,0,0,0
1774271251.026,18.00,0.562,55,0,0,0
1774271251.107,18.00,0.582,55,0,0,0
1774271251.189,18.00,0.570,55,0,0,0
1774271251.270,18.00,0.549,55,0,0,0
1774271251.351,18.00,0.541,55,0,0,0
1774271251.432,18.00,0.569,60,0,0,0
1774271251.513,18.00,0.971,63,0,0,0
1774271251.594,18.00,0.720,65,0,0,0
1774271251.676,18.00,0.720,69,0,0,0
1774271251.757,18.00,0.847,70,0,0,0
1774271251.838,18.00,0.827,72,0,0,0
1774271251.919,18.00,0.834,75,0,0,0
1774271252.000,18.00,0.834,77,0,0,0
1774271252.081,18.00,0.938,77,0,0,0
1774271252.162,18.00,0.791,77,0,0,0
1774271252.243,18.00,0.791,77,0,0,0
1774271252.324,18.00,0.770,88,0,0,0
1774271252.405,18.00,1.439,95,0,0,0
1774271252.486,18.00,1.439,95,0,0,0
1774271252.567,18.00,1.045,95,0,0,0
1774271252.649,18.00,0.903,100,0,0,0
1774271252.730,18.00,0.903,105,0,0,0
1774271252.811,18.00,1.455,107,0,0,0
1774271252.892,18.00,1.455,107,0,0,0
1774271252.974,18.00,1.238,101,0,0,0
1774271253.055,18.49,0.511,96,0,0,0
1774271253.136,18.00,0.511,96,0,0,0
1774271253.217,18.00,0.336,93,0,0,0
1774271253.298,18.00,0.336,67,0,0,0
1774271253.379,19.17,0.196,56,0,0,0
1774271253.460,18.00,0.196,46,0,0,0
1774271253.541,18.00,0.000,41,0,0,0
1774271253.622,18.00,0.000,41,0,0,0
1774271253.703,18.00,0.308,41,0,0,0
1774271253.784,18.00,0.392,39,0,0,0
1774271253.865,18.00,0.392,39,0,0,0
1774271253.946,18.00,0.394,39,0,0,0
1774271254.027,18.00,0.394,39,0,0,0
1774271254.108,18.00,0.402,39,0,0,0
1774271254.189,18.00,0.402,39,0,0,0
1774271254.270,18.00,0.415,39,0,0,0
1774271254.351,18.00,0.415,39,0,0,0
1774271254.432,18.00,0.414,37,0,0,0
1774271254.514,18.00,0.414,37,0,0,0
1774271254.595,18.00,0.419,37,0,0,0
1774271254.676,18.00,0.419,37,0,0,0
1774271254.757,18.00,0.404,36,0,0,0
1774271254.838,18.00,0.404,36,0,0,0
1774271254.919,18.00,0.404,32,0,0,0
1774271255.000,18.00,0.259,30,0,0,0
1774271255.081,18.00,0.259,30,0,0,0
