# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774271240.048 18.00 0.055
1774271240.141 18.00 0.055
1774271240.236 18.00 0.055
1774271240.338 18.00 0.055
1774271240.419 18.00 0.055
1774271240.500 18.00 0.055
1774271240.601 18.00 0.055
1774271240.703 18.00 0.055
1774271240.784 18.00 0.055
1774271240.885 18.00 0.055
1774271240.987 18.00 0.055
1774271241.068 18.00 0.055
1774271241.149 18.00 0.055
1774271241.251 18.00 0.055
1774271241.353 18.00 0.055
1774271241.434 18.00 0.055
1774271241.535 18.00 0.056
1774271241.637 18.00 0.056
1774271241.718 18.00 0.056
1774271241.819 18.00 0.056
1774271241.921 18.00 0.055
1774271242.002 18.00 0.055
1774271242.083 18.00 0.055
1774271242.185 18.00 0.056
1774271242.286 18.00 0.056
1774271242.367 18.00 0.056
1774271242.469 18.00 0.056
1774271242.550 18.00 0.053
1774271242.652 18.00 0.053
1774271242.754 18.00 0.053
1774271242.836 18.00 0.053
1774271242.937 18.00 0.055
1774271243.018 18.00 0.055
1774271243.120 18.00 0.055
1774271243.221 18.00 0.055
1774271243.302 18.00 0.055
1774271243.404 18.00 0.055
1774271243.485 18.00 0.055
1774271243.586 18.00 0.055
1774271243.667 18.00 0.055
1774271243.769 18.00 0.055
1774271243.870 18.00 0.055
1774271243.951 18.00 0.055
1774271244.032 18.00 0.053
1774271244.134 18.00 0.053
1774271244.215 18.00 0.053
1774271244.296 18.00 0.053
1774271244.377 18.00 0.055
1774271244.458 18.00 0.055
1774271244.559 18.00 0.055
1774271244.640 18.00 0.055
1774271244.742 18.00 0.055
1774271244.823 18.00 0.055
1774271244.924 18.00 0.055
1774271245.025 18.00 0.055
1774271245.106 18.00 0.055
1774271245.207 18.00 0.055
1774271245.289 18.00 0.055
1774271245.390 18.00 0.055
1774271245.471 18.00 0.055
1774271245.572 18.00 0.055
1774271245.673 18.00 0.055
1774271245.754 18.00 0.055
1774271245.836 18.00 0.053
1774271245.937 18.00 0.053
1774271246.038 18.00 0.053
1774271246.119 18.00 0.053
1774271246.221 18.00 0.056
1774271246.322 18.00 0.056
1774271246.403 18.00 0.056
1774271246.484 18.00 0.056
1774271246.588 18.00 0.053
1774271246.669 18.00 0.053
1774271246.750 18.00 0.053
1774271246.832 18.00 0.053
1774271246.913 18.00 0.055
1774271247.014 18.00 0.055
1774271247.115 18.00 0.055
1774271247.196 18.00 0.055
1774271247.278 18.00 0.053
1774271247.379 18.00 0.053
1774271247.480 18.00 0.053
1774271247.561 18.00 0.053
1774271247.663 18.00 0.055
1774271247.764 18.00 0.055
1774271247.845 18.00 0.055
1774271247.926 18.00 0.055
1774271248.028 18.00 0.055
1774271248.129 18.00 0.055
1774271248.210 18.00 0.055
1774271248.311 18.00 0.063
1774271248.413 18.00 0.063
1774271248.494 18.00 0.063
1774271248.595 18.00 0.063
1774271248.676 18.00 0.127
1774271248.777 18.00 0.127
1774271248.858 18.00 0.127
1774271248.960 18.00 0.127
1774271249.061 18.00 0.055
1774271249.142 18.00 0.055
1774271249.243 18.00 0.055
1774271249.344 18.00 0.055
1774271249.425 18.00 0.091
1774271249.506 18.00 0.091
1774271249.607 18.00 0.091
1774271249.709 18.00 0.091
1774271249.790 18.00 0.158
1774271249.891 18.00 0.158
1774271249.992 18.00 0.158
1774271250.073 18.00 0.158
1774271250.155 18.00 0.055
1774271250.256 18.00 0.055
1774271250.357 18.00 0.055
1774271250.439 17.98 0.055
1774271250.540 18.00 0.265
1774271250.621 18.00 1.253
1774271250.702 18.00 0.719
1774271250.783 18.00 0.567
1774271250.864 18.00 0.565
1774271250.945 18.00 0.562
1774271251.026 18.00 0.562
1774271251.107 18.00 0.582
1774271251.189 18.00 0.570
1774271251.270 18.00 0.549
1774271251.351 18.00 0.541
1774271251.432 18.00 0.569
1774271251.513 18.00 0.971
1774271251.594 18.00 0.720
1774271251.676 18.00 0.720
1774271251.757 18.00 0.847
1774271251.838 18.00 0.827
1774271251.919 18.00 0.834
1774271252.000 18.00 0.834
1774271252.081 18.00 0.938
1774271252.162 18.00 0.791
1774271252.243 18.00 0.791
1774271252.324 18.00 0.770
1774271252.405 18.00 1.439
1774271252.486 18.00 1.439
1774271252.567 18.00 1.045
1774271252.649 18.00 0.903
1774271252.730 18.00 0.903
1774271252.811 18.00 1.455
1774271252.892 18.00 1.455
1774271252.974 18.00 1.238
1774271253.055 18.49 0.511
1774271253.136 18.00 0.511
1774271253.217 18.00 0.336
1774271253.298 18.00 0.336
1774271253.379 19.17 0.196
1774271253.460 18.00 0.196
1774271253.541 18.00 0.000
1774271253.622 18.00 0.000
1774271253.703 18.00 0.308
1774271253.784 18.00 0.392
1774271253.865 18.00 0.392
1774271253.946 18.00 0.394
1774271254.027 18.00 0.394
1774271254.108 18.00 0.402
1774271254.189 18.00 0.402
1774271254.270 18.00 0.415
1774271254.351 18.00 0.415
1774271254.432 18.00 0.414
1774271254.514 18.00 0.414
1774271254.595 18.00 0.419
1774271254.676 18.00 0.419
1774271254.757 18.00 0.404
1774271254.838 18.00 0.404
1774271254.919 18.00 0.404
1774271255.000 18.00 0.259
1774271255.081 18.00 0.259
1774271255.162 18.00 0.252
1774271255.243 18.00 0.252
1774271255.324 18.00 0.315
1774271255.406 18.00 0.315
1774271255.487 18.00 0.315
1774271255.568 18.00 0.315
1774271255.649 18.00 0.315
1774271255.730 18.00 0.310
1774271255.811 18.00 0.310
1774271255.892 18.00 0.303
1774271255.974 18.00 0.303
1774271256.055 18.00 0.305
1774271256.136 18.00 0.305
1774271256.217 18.00 0.305
1774271256.298 18.00 0.317
1774271256.379 18.00 0.317
1774271256.460 18.00 0.317
1774271256.541 18.00 0.317
1774271256.622 18.00 0.317
1774271256.703 18.00 0.312
1774271256.784 18.00 0.312
1774271256.865 18.00 0.287
1774271256.946 18.00 0.287
1774271257.027 18.00 0.287
1774271257.108 18.00 0.312
1774271257.189 18.00 0.312
1774271257.270 18.00 0.298
1774271257.351 18.00 0.298
1774271257.433 18.00 0.298
1774271257.514 18.00 0.310
1774271257.595 18.00 0.310
1774271257.676 18.00 0.325
1774271257.757 18.00 0.325
1774271257.838 18.00 0.325
1774271257.919 18.00 0.305
1774271258.001 18.00 0.305
1774271258.082 18.00 0.305
1774271258.163 18.00 0.341
1774271258.244 18.00 0.341
1774271258.325 18.00 0.341
1774271258.406 18.00 0.389
1774271258.488 18.00 0.389
1774271258.569 18.00 0.320
1774271258.650 18.00 0.320
1774271258.731 18.00 0.320
1774271258.812 18.00 0.297
1774271258.893 18.00 0.297
1774271258.974 18.00 0.297
1774271259.055 18.00 0.313
1774271259.136 18.00 0.313
1774271259.217 18.00 0.313
1774271259.298 18.00 0.348
1774271259.380 18.00 0.348
1774271259.461 18.00 0.348
1774271259.542 18.00 0.407
1774271259.623 18.00 0.407
1774271259.704 18.00 0.407
1774271259.785 18.00 0.381
1774271259.866 18.00 0.381
1774271259.947 18.00 0.381
1774271260.028 18.00 0.313
1774271260.109 18.00 0.313
1774271260.190 18.00 0.313
1774271260.271 18.00 0.343
1774271260.352 18.00 0.343
1774271260.433 18.00 0.343
1774271260.514 18.00 0.378
1774271260.595 18.00 0.378
1774271260.676 18.00 0.378
1774271260.757 18.00 0.407
1774271260.838 18.00 0.407
1774271260.919 18.00 0.407
1774271261.000 18.00 0.407
1774271261.082 18.00 0.437
1774271261.163 18.00 0.437
1774271261.244 18.00 0.437
1774271261.325 18.00 0.478
1774271261.406 18.00 0.478
1774271261.487 18.00 0.478
1774271261.569 18.00 0.458
1774271261.650 18.00 0.458
1774271261.731 18.00 0.458
1774271261.812 18.00 0.483
1774271261.893 18.00 0.483
1774271261.974 18.00 0.483
1774271262.055 18.00 0.476
1774271262.136 18.00 0.476
1774271262.217 18.00 0.476
1774271262.298 18.00 0.476
1774271262.380 18.00 0.528
1774271262.461 18.00 0.528
1774271262.542 18.00 0.528
1774271262.623 18.00 0.532
1774271262.704 18.00 0.532
1774271262.785 18.00 0.532
1774271262.866 18.00 0.532
1774271262.947 18.00 0.551
1774271263.028 18.00 0.551
1774271263.110 18.00 0.551
1774271263.191 18.00 0.640
1774271263.272 18.00 0.640
1774271263.353 18.00 0.640
1774271263.434 18.00 0.640
1774271263.515 18.00 0.643
1774271263.596 18.00 0.643
1774271263.677 18.00 0.643
1774271263.759 18.00 0.648
1774271263.840 18.00 0.648
1774271263.921 18.00 0.648
1774271264.002 18.00 0.648
1774271264.083 18.00 0.645
1774271264.164 18.00 0.645
1774271264.245 18.00 0.645
1774271264.326 18.00 0.613
1774271264.407 18.00 0.613
1774271264.489 18.00 0.613
1774271264.570 18.00 0.613
1774271264.651 18.00 0.645
1774271264.752 18.00 0.645
1774271264.833 18.00 0.645
1774271264.915 18.00 0.646
1774271264.996 18.00 0.646
1774271265.077 18.00 0.646
1774271265.158 18.00 0.646
