# Device: RND 320-KA3005P V2.0
# Vmax: 18.00
# Imax: 5.000
# Timestamp[s] Voltage[V] Current[A]
1774271709.772 18.00 0.056
1774271709.860 18.00 0.056
1774271709.966 18.00 0.053
1774271710.047 18.00 0.053
1774271710.128 18.00 0.053
1774271710.209 18.00 0.055
1774271710.290 18.00 0.055
1774271710.372 18.00 0.055
1774271710.453 18.00 0.055
1774271710.534 18.00 0.055
1774271710.615 18.00 0.055
1774271710.696 18.00 0.056
1774271710.777 18.00 0.056
1774271710.858 18.00 0.056
1774271710.939 18.00 0.056
1774271711.020 18.00 0.055
1774271711.101 18.00 0.055
1774271711.182 18.00 0.055
1774271711.263 18.00 0.055
1774271711.345 18.00 0.055
1774271711.426 18.00 0.055
1774271711.507 18.00 0.053
1774271711.588 18.00 0.053
1774271711.670 18.00 0.053
1774271711.751 18.00 0.053
1774271711.832 18.00 0.056
1774271711.913 18.00 0.056
1774271711.994 18.00 0.056
1774271712.075 18.00 0.053
1774271712.157 18.00 0.053
1774271712.238 18.00 0.053
1774271712.319 18.00 0.053
1774271712.400 18.00 0.055
1774271712.482 18.00 0.055
1774271712.564 18.00 0.055
1774271712.648 18.00 0.053
1774271712.729 18.00 0.053
1774271712.810 18.00 0.053
1774271712.891 18.00 0.053
1774271712.972 18.00 0.055
1774271713.053 18.00 0.055
1774271713.134 18.00 0.055
1774271713.215 18.00 0.053
1774271713.296 18.00 0.053
1774271713.377 18.00 0.053
1774271713.459 18.00 0.053
1774271713.540 18.00 0.055
1774271713.621 18.00 0.055
1774271713.702 18.00 0.055
1774271713.783 18.00 0.055
1774271713.864 18.00 0.055
1774271713.946 18.00 0.055
1774271714.027 18.00 0.055
1774271714.108 18.00 0.055
1774271714.189 18.00 0.055
1774271714.270 18.00 0.055
1774271714.351 18.00 0.055
1774271714.433 18.00 0.055
1774271714.514 18.00 0.055
1774271714.595 18.00 0.055
1774271714.676 18.00 0.055
1774271714.777 18.00 0.055
1774271714.859 18.00 0.055
1774271714.940 18.00 0.055
1774271715.021 18.00 0.055
1774271715.102 18.00 0.055
1774271715.183 18.00 0.055
1774271715.264 18.00 0.055
1774271715.345 18.00 0.055
1774271715.426 18.00 0.055
1774271715.507 18.00 0.055
1774271715.588 18.00 0.055
1774271715.669 18.00 0.053
1774271715.750 18.00 0.053
1774271715.832 18.00 0.053
1774271715.913 18.00 0.053
1774271715.994 18.00 0.053
1774271716.075 18.00 0.053
1774271716.156 18.00 0.053
1774271716.237 18.00 0.053
1774271716.318 18.00 0.124
1774271716.399 18.00 0.124
1774271716.480 18.00 0.124
1774271716.561 18.00 0.124
