1774273729.490|1|0|0|0
1774273729.507|3|0|0|0
1774273729.520|4|0|0|0
1774273729.551|6|0|0|0
1774273729.581|8|0|0|0
1774273729.627|10|0|0|0
1774273729.642|11|0|0|0
1774273729.695|13|0|0|0
1774273729.710|15|0|0|0
1774273729.725|16|0|0|0
1774273729.732|18|0|0|0
1774273729.748|20|0|0|0
1774273729.854|18|0|0|0
1774273729.861|11|0|0|0
1774273729.869|3|0|0|0
1774273729.876|0|0|0|0
1774273735.91|1|0|0|0
1774273735.98|3|0|0|0
1774273735.106|4|0|0|0
1774273735.114|6|0|0|0
1774273735.129|8|0|0|0
1774273735.137|10|0|0|0
1774273735.167|11|0|0|0
1774273735.198|13|0|0|0
1774273735.389|11|0|0|0
1774273735.397|6|0|0|0
1774273735.404|0|0|0|0
1774273736.856|0|6|0|0
1774273737.443|0|4|0|0
1774273737.581|0|3|0|0
1774273737.611|0|1|0|0
1774273737.634|0|0|0|0
1774273738.818|0|0|6|0
1774273739.395|0|0|4|0
1774273739.418|0|0|3|0
1774273739.434|0|0|1|0
1774273739.441|0|0|0|0
1774273741.992|0|0|0|1
1774273742.8|0|0|0|3
1774273742.15|0|0|0|4
1774273742.38|0|0|0|6
1774273742.452|0|0|0|4
1774273742.460|0|0|0|1
1774273742.468|0|0|0|0
1774273745.183|1|0|0|0
1774273745.451|3|0|0|0
1774273745.466|4|0|0|0
1774273745.474|6|0|0|0
1774273745.489|8|0|0|0
1774273745.497|10|0|0|0
1774273745.512|11|0|0|0
1774273745.520|13|0|0|0
1774273745.535|15|0|0|0
1774273745.558|16|0|0|0
1774273745.581|18|0|0|0
1774273745.612|20|0|0|0
1774273745.643|22|0|0|0
1774273745.674|23|0|0|0
1774273745.705|25|0|0|0
1774273745.744|27|0|0|0
1774273745.844|29|0|0|0
1774273745.875|30|0|0|0
1774273745.906|32|0|0|0
1774273745.929|34|0|0|0
1774273745.937|36|0|0|0
1774273745.959|37|0|0|0
1774273745.990|39|0|0|0
1774273746.13|41|0|0|0
1774273746.44|43|0|0|0
1774273746.74|44|0|0|0
1774273746.90|46|0|0|0
1774273746.105|48|0|0|0
1774273746.120|49|0|0|0
1774273746.136|51|0|0|0
1774273746.143|53|0|0|0
1774273746.159|55|0|0|0
1774273746.167|56|0|0|0
1774273746.182|58|0|0|0
1774273746.190|60|0|0|0
1774273746.205|62|0|0|0
1774273746.213|63|0|0|0
1774273746.228|65|0|0|0
1774273746.236|67|0|0|0
1774273746.252|69|0|0|0
1774273746.260|70|0|0|0
1774273746.283|72|0|0|0
1774273746.306|74|0|0|0
1774273746.321|75|0|0|0
1774273746.337|77|0|0|0
1774273746.352|79|0|0|0
1774273746.383|81|0|0|0
1774273746.414|82|0|0|0
1774273746.430|84|0|0|0
1774273746.584|86|0|0|0
1774273746.708|88|0|0|0
1774273746.754|89|0|0|0
1774273746.785|91|0|0|0
1774273746.816|93|0|0|0
1774273746.847|95|0|0|0
1774273746.878|96|0|0|0
1774273746.909|98|0|0|0
1774273746.948|100|0|0|0
1774273746.987|101|0|0|0
1774273747.64|103|0|0|0
1774273747.95|105|0|0|0
1774273747.149|107|0|0|0
1774273747.242|108|0|0|0
1774273747.266|110|0|0|0
1774273747.297|112|0|0|0
1774273747.312|114|0|0|0
1774273747.320|115|0|0|0
1774273747.336|117|0|0|0
1774273747.343|119|0|0|0
1774273747.359|121|0|0|0
1774273747.382|122|0|0|0
1774273747.413|124|0|0|0
1774273747.444|126|0|0|0
1774273747.506|128|0|0|0
1774273747.545|129|0|0|0
1774273747.576|131|0|0|0
1774273747.607|133|0|0|0
1774273747.638|134|0|0|0
1774273747.730|136|0|0|0
1774273747.815|138|0|0|0
1774273747.932|140|0|0|0
1774273748.937|131|0|0|0
1774273748.945|107|0|0|0
1774273748.953|39|0|0|0
1774273748.960|0|0|0|0
1774273751.171|-4|-4|-4|-4
1774273751.620|0|0|0|0
1774273751.651|3|3|3|3
1774273751.683|6|6|6|6
1774273751.714|10|10|10|10
1774273751.761|13|13|13|13
1774273752.347|17|17|17|17
1774273752.846|20|20|20|20
1774273752.932|24|24|24|24
1774273753.96|27|27|27|27
1774273753.331|31|31|31|31
1774273753.378|34|34|34|34
1774273753.558|38|38|38|38
1774273753.706|41|41|41|41
1774273753.925|45|45|45|45
1774273754.49|48|48|48|48
1774273754.127|52|52|52|52
1774273754.322|55|55|55|55
1774273754.650|59|59|59|59
1774273755.192|62|62|62|62
1774273755.553|66|66|66|66
1774273755.766|69|69|69|69
1774273755.984|73|73|73|73
1774273756.335|76|76|76|76
1774273756.483|79|79|79|79
1774273756.545|83|83|83|83
1774273756.630|86|86|86|86
1774273756.755|90|90|90|90
1774273756.972|93|93|93|93
1774273757.34|97|97|97|97
1774273757.112|100|100|100|100
1774273757.175|104|104|104|104
1774273757.245|107|107|107|107
1774273757.338|111|111|111|111
1774273757.408|114|114|114|114
1774273757.494|118|118|118|118
1774273757.533|121|121|121|121
1774273759.280|125|125|125|125
1774273759.365|128|128|128|128
1774273759.397|132|132|132|132
1774273759.443|135|135|135|135
