t,U,I,throttle0,throttle1,throttle2,throttle3
1774273726.405,18.00,0.055,1,0,0,0
1774273726.495,18.00,0.055,1,0,0,0
1774273726.634,18.00,0.055,1,0,0,0
1774273726.715,18.00,0.055,1,0,0,0
1774273726.816,18.00,0.055,1,0,0,0
1774273726.897,18.00,0.055,1,0,0,0
1774273726.999,18.00,0.055,1,0,0,0
1774273727.080,18.00,0.055,1,0,0,0
1774273727.181,18.00,0.055,1,0,0,0
1774273727.283,18.00,0.055,1,0,0,0
1774273727.364,18.00,0.055,1,0,0,0
1774273727.465,18.00,0.055,1,0,0,0
1774273727.567,18.00,0.055,1,0,0,0
1774273727.648,18.00,0.055,1,0,0,0
1774273727.749,18.00,0.055,1,0,0,0
1774273727.851,18.00,0.055,1,0,0,0
1774273727.932,18.00,0.055,1,0,0,0
1774273728.013,18.00,0.055,1,0,0,0
1774273728.114,18.00,0.055,1,0,0,0
1774273728.216,18.00,0.055,1,0,0,0
1774273728.297,18.00,0.055,1,0,0,0
1774273728.398,18.00,0.055,1,0,0,0
1774273728.499,18.00,0.055,1,0,0,0
1774273728.580,18.00,0.055,1,0,0,0
1774273728.661,18.00,0.055,1,0,0,0
1774273728.763,18.00,0.055,1,0,0,0
1774273728.864,18.00,0.055,1,0,0,0
1774273728.945,18.00,0.055,1,0,0,0
1774273729.046,18.00,0.055,1,0,0,0
1774273729.127,18.00,0.055,1,0,0,0
1774273729.228,18.00,0.055,1,0,0,0
1774273729.309,18.00,0.055,1,0,0,0
1774273729.411,18.00,0.055,1,0,0,0
1774273729.512,18.00,0.055,3,0,0,0
1774273729.593,18.00,0.055,8,0,0,0
1774273729.694,18.00,0.055,11,0,0,0
1774273729.775,18.00,0.055,20,0,0,0
1774273729.877,18.00,0.055,0,0,0,0
1774273729.958,18.00,0.055,0,0,0,0
1774273730.059,18.00,0.055,0,0,0,0
1774273730.161,18.00,0.055,0,0,0,0
1774273730.242,18.00,0.055,0,0,0,0
1774273730.343,18.00,0.055,0,0,0,0
1774273730.424,18.00,0.055,0,0,0,0
1774273730.506,18.00,0.055,0,0,0,0
1774273730.587,18.00,0.055,0,0,0,0
1774273730.668,18.00,0.055,0,0,0,0
1774273730.749,18.00,0.055,0,0,0,0
1774273730.850,18.00,0.055,0,0,0,0
1774273730.932,18.00,0.055,0,0,0,0
1774273731.033,18.00,0.055,0,0,0,0
1774273731.114,18.00,0.055,0,0,0,0
1774273731.216,18.00,0.055,0,0,0,0
1774273731.317,18.00,0.055,0,0,0,0
1774273731.398,18.00,0.055,0,0,0,0
1774273731.500,18.00,0.055,0,0,0,0
1774273731.581,18.00,0.055,0,0,0,0
